company_id,name,acronym,in_catalogue,n_documents,regions,countries,sectors,corporate_group,place_listed,legal_form_listed,year_start_listed,year_end_listed,founded_date_observed,capital_observed,capital_year,head_office_observed,n_ties,n_board_ties,n_directors,first_year_observed,last_year_observed
camayenne,La Camayenne,,1,1,Afrique occidentale francaise,Guinée Conakry,Agro-alimentaire,,,,1909,1923,,2.000.000 fr.,1912,"était à Paris, rue Turbigo, no 16",11,11,8,1909,1909
commercialeafrique,La Commerciale de l'Afrique française,COAF,1,2,Afrique equatoriale francaise; Afrique occidentale francaise,Afrique occidentale française; Côte d'Ivoire,Commerce; Documents généraux (par ordre chronologique),,Abidjan; puis Douala,,1939,,,40 millions fr.,1953,Abidjan (Côte d'ivoire),11,11,5,1947,1953
typhon,Le Typhon,,1,1,Inde et Indochine; Indochine,Indochine,"Banque, gérance, assurances…",,Hanoï,,,,,,,"55, rue Borgnis-Desbordes, Hanoi",11,11,11,1903,1903
millaul,MILLAUL,,0,1,Algerie,Algérie,Documents généraux (par ordre chronologique),,,,,,,,,,11,11,11,1910,1910
minesblaymard,MINES DU BLAYMARD,,0,1,Empire (transversal),,Groupes financiers transcoloniaux,,,,,,,1.500.000 FRANCS,1938,"est à Paris, 3, rue Godot-",11,11,9,1925,1938
manufacturecouverturestonkin,Manufacture de couvertures du Tonkin,MACOTO,1,1,Inde et Indochine; Indochine,Indochine,Cuirs et textiles,,Nam-Dinh,,,,,250.000 piastres,1929,Nam-Dinh (Tonkin),11,11,11,1927,1927
materielagricolenordafricain,Matériel agricole Nord-Africain,,0,2,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1929-03-25,,,,11,11,11,1935,1952
havraisepeninsulairenavigation,Nouvelle Cie Havraise Péninsulaire de navigation,,0,1,Empire (transversal),,Documents généraux (par ordre chronologique),,,,,,,22 millions fr.,1937,,11,11,11,1937,1937
omniumelectricite,Omnium français d'électricité,,1,1,Empire (transversal),,"Eau et assainissement, électricité (utilities)",,Paris,,1909,1926,,250.000 francs,1955,social,11,11,11,1909,1924
omniummarocain,Omnium marocain,,1,4,Maroc,Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",,Casablanca,S.A,1928,,1932-02-02,,,Casablanca,11,11,10,1928,1958
parismarocholdingcherifiengustavegompel,"Paris-Maroc, le holding chérifien de Gustave Gompel",,1,1,Maroc,Maroc,"Banques, groupes financiers, assureurs",Paris-Maroc (Gustave Gompel et ses fils Robert et Marcel) : une créativité financière débordante…,,,,,,60.000.000 francs,1920,"rue de Marignan, 6",11,11,11,1912,1920
plantationsheveaspreckchlongouprekchlong,Plantations d'hévéas du Preck-Chlong ou Prek-Chlong,,1,1,Inde et Indochine; Indochine,Indochine,Héveas et caoutchouc,,,,1927,1937,,18.500.000 francs,1934,Saïgon,11,11,10,1927,1934
plantationsdjember,Plantations de Djember,,1,2,Inde et Indochine; Indochine,Indochine; Java et Sumatra (Indes néerlandaises),Groupes indochinois et dirigeants d'affaires diverses; Plantations à participation française,,,,1912,,,,,"Amsterdam, 164, Herengracht. Bureau à Pars, SOGEMA [Société de gérance de",16,11,7,1920,1953
rizeriesparisiennesparishaiphong,"Rizeries parisiennes, Paris-Haïphong",,1,1,Inde et Indochine; Indochine,Indochine,"Rizières, rizeries, négoce de riz et autres céréales",,,,1915,1922,1915-07-05,1.000.000 francs,1922,"15, rue de Tanger, Paris",11,11,10,1915,1918
saga,SAGA,,0,1,Empire (transversal),,Transports maritimes,,,,,,,,,de la SAGA,11,11,10,1948,1948
sffc,SFFC,,1,2,Empire (transversal),,Groupes financiers transcoloniaux,Société financière française et coloniale (SFFC)-Société financière pour la France et l'outre-mer (SOFFO) : d'Octave Homberg à Edmond Giscard d'Estaing (le père de Valéry),,,1920,1930,1920-11-12,96 millions francs,1952,"rue d'Anjou, et la vente de ses",17,11,10,1931,1944
salinesfedalafedala,"Salines de Fédala, FÉDALA",,0,2,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1922-12-16,1.400.000 fr.,1969,"5, rue Berthelot, Toulon (Var)",11,11,10,1937,1969
agricolecommercialebasogoue,Société Agricole et Commerciale du Bas-Ogoué,,1,1,Afrique equatoriale francaise,Gabon,Agro-alimentaire,,,,1895,1902,,600.000 francs,1900,"39, rue de Châteaudun, Paris. — Ordre du jour :",11,11,11,1900,1900
agricoleforestiereindustrielleafrique,"Société Agricole, Forestière et Industrielle pour l'Afrique",SAFIA,1,2,Afrique equatoriale francaise,Afrique équatoriale française; Gabon,Agro-alimentaire; Documents généraux (par ordre chronologique),,,,1911,1929,,5.940.000 fr.,1912,Fernan-Vaz,11,11,11,1912,1926
algeriennemateriauxconstruction,Société Algérienne de matériaux de construction,,1,1,Algerie,Algérie,"Bâtiment et travaux publics, matériaux de construction, céramique",,Mostaganem,,,,,2.000.000 francs,1930,"4, boulevard de la République, Alger",11,11,11,1928,1928
financieretransafricaine,Société Financière Transafricaine,,1,2,Maroc,Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",,Casablanca,,1941,1949,1946,35 millions francs,1942,est au Maroc,11,11,11,1952,1952
liege,Société Française du Liège,,1,1,Algerie,Algérie,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…",,,,,,,277.500.000 fr.,1939,"Paris. 5, rue Taine",14,11,11,1929,1939
immobilierecongolaise,Société Immobilière Congolaise,,1,2,Afrique equatoriale francaise,Afrique équatoriale française; Congo-Brazzaville ou Moyen-Congo,Documents généraux (par ordre chronologique); Sociétés diverses,,,,1928,,,6.250.000 fr.,1939,Pointe-Noire,11,11,5,1930,1937
indochineluminescenceradio,Société Indochine Luminescence et Radio,,0,1,Indochine,Indochine,Documents généraux (par ordre chronologique),,,,,,1937-03-19,,,,11,11,11,1971,1971
industriellecommercialeagricoleguinee,"Société Industrielle, Commerciale et Agricole de la Guinée Française",,1,2,Afrique occidentale francaise,Afrique occidentale française; Guinée Conakry,Commerce; Documents généraux (par ordre chronologique),,,,1922,1923,1919-12-12,,,"est à Paris, 61, boulevard Haussmann",11,11,9,1922,1975
rouff,Société L. Rouff,,1,1,Empire (transversal),,Groupes financiers transcoloniaux,"Worms (Édouard-Raphaël)(oncle de l'écrivain Roger Stéphane) : Industrielle immobilière, Félix Potin, SAG (chaussures)…",,,,,1925-03-27,,,fait meilleure contenance à,11,11,11,1929,1929
miniereafriqueoccidentale,Société Minière de l'Afrique occidentale,,1,1,Afrique occidentale francaise,Côte d'Ivoire,Mines,,,,1901,1905,,200.000 francs,1903,"5, rue Mogador, Paris",11,11,9,1901,1903
palme,Société Palme,,1,2,Afrique occidentale francaise,Afrique occidentale française; Dahomey (Bénin),Documents généraux (par ordre chronologique),,Cotonou,,1932,,,,,COTONOU (Dahomey),11,11,6,1935,1955
shellmaroc,Société Shell du Maroc,,0,2,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1922-04-09,,,,11,11,11,1930,1969
senegalaisecultureslatemengue,Société Sénégalaise de Cultures Late-Mengué,,1,1,Afrique occidentale francaise,Sénégal,Industries agro-alimentaires,,,,,,1927-04-06,2.500.000 fr.,1928,"Paris, usine à",11,11,11,1931,1931
denisfreresbordeaux,Société anon. Denis frères de Bordeaux,,0,5,Indochine,Indochine,"Commerce; Cuirs et textiles; Documents généraux (par ordre chronologique); Transports fluviaux, maritimes et aériens. Ports, phares",,,,,,1922-07-01,,,"18, rue Ferrère, BORDEAUX",11,11,8,1926,1937
auxiliaireafricainedeveloppementcommerceindustrie,"Société auxiliaire africaine pour le développement du commerce, de l'industrie",,0,1,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,,2.500.000 fr.,1922,,12,11,11,1922,1922
bordelaiseafricaine,Société bordelaise africaine,,0,2,Afrique equatoriale francaise,Afrique équatoriale française,Documents généraux (par ordre chronologique),,,,,,,,,est à Abidjan (V. notice no 612) et de la,11,11,9,1937,1947
exploitationsminieresindustrielles,Société d'Exploitations minières et industrielles,,1,1,Empire (transversal),,Groupes financiers transcoloniaux,"Goudchaux, à Metz et Paris : un siècle et demi de banque",Paris,,1911,1929,,1.300.000 fr.,1921,"25, rue de Clichy",11,11,9,1911,1919
hotellerieafricaine,Société d'Hôtellerie africaine,,0,2,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,,,,,11,11,8,1949,1955
elevagemeknes,Société d'Élevage de Meknès,,1,3,Maroc,Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,,,,,,1921-07-21,,,AGOURAI (Maroc),11,11,7,1926,1958
etudescheminferdansbassinmekong,Société d'Études de chemin de fer dans le bassin du Mékong,,1,1,Inde et Indochine; Indochine,Indochine,Transports terrestres et garages,,,,1908,,,300.000 fr.,1908,"est 44, rue Laffitte, et les premiers administrateurs sont :",11,11,11,1908,1908
etudescommercemaroc,Société d'Études et de commerce au Maroc,,1,1,Maroc,Maroc,Commerce,,,,,,,2.500.000 fr.,1914,"Marseille, 2, quai de la Joliette, en",11,11,11,1914,1914
etudesminieresindochine,Société d'Études minières en Indo-Chine,,1,2,Inde et Indochine; Indochine,Indochine,Mines,,,,1906,1909,,1.000.000 francs,1912,"Paris, 15 bis, rue Laffitte, a prononcé la dissolution de la société et décidé",11,11,11,1911,1912
etudesengraisazotesindochinechuteda,Société d'études des engrais azotés en Indochine et de la chute du Da,,0,1,Indochine,Indochine,Documents généraux (par ordre chronologique),,,,,,1920-08-05,500.000 fr.,1937,,11,11,11,1937,1937
etudescheminfertransafricain,Société d'études du Chemin de fer transafricain,,1,1,Algerie,Algérie,"Transports terrestres, garages automobiles et agricoles",,,,1912,1935,,400.000 francs,1912,"PARIS, 17, r. Scribe",11,11,11,1912,1912
etudesreconstructionsmyrne,Société d'études pour la Reconstruction de Smyrne,,1,1,Proche-Orient,Empire ottoman/Turquie,,,,,1923,,,200.000 francs,1923,"est à Paris, 61, avenue Victor-Emmanuel-III",11,11,11,1923,1923
decorticagelyndiane,"Société de décorticage, LYNDIANE",,0,1,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,,,,,11,11,11,1958,1958
prospectionetudesminieresmaroc,Société de prospection et d'études minières au Maroc,,0,2,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1929-02-23,1.000.000 fr.,1952,,11,11,8,1937,1952
cafesindochine,Société des Cafés de l’Indochine,SCAFI,1,1,Inde et Indochine; Indochine,Indochine,"Café, thé, épices, coco, quinquina, vanille",,,,,,1926-09-15,15.000.000 fr.,1928,"93, boulevard de la Somme, Saïgon",11,11,11,1930,1930
huileriesafricainesdrewin,"Société des Huileries africaines, Drewin",,1,1,Afrique occidentale francaise,Côte d'Ivoire,"Agro-alimentaire, cultures industrielles",,,,1920,1928,,,,"Paris, 29, rue des",11,11,11,1920,1957
minesferbeniaicha,Société des Mines de fer de Beni-Aïcha,,1,2,Algerie; Maroc,Maroc,Documents généraux (par ordre chronologique); Mines; Mines et carrières,,,,,,1909-11-02,600.000 fr.,1924,de la Banque départementale et de la Société française de produits hygiéniques,11,11,9,1909,1926
moulinsmazagan,"Société des Moulins de Mazagan, puis Société marocaine industrielle et commerciale",SOMIC,1,2,Maroc,Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,,Casablanca,,,,1927-09-09,,,"Mazagan, rues 347 et 348",11,11,10,1930,1930
scieriesfabriquesallumettesthanhhoa,Société des Scieries et de fabriques d'allumettes de Thanh-hoa,,1,3,Inde et Indochine; Indochine,Indochine,"Bois, meubles, papier, allumettes; Documents généraux (par ordre chronologique)",,,,,,1905-12-11,175.500 francs,1906,NAM-DINH (Nord Viêt-Nam),11,11,6,1929,1971
automobilescoteafrique,Société des automobiles de la Côte d'Afrique,,0,2,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,1927-09-22,,,,11,11,7,1937,1963
caoutchoucsindochinesiegesocial,Société des caoutchoucs de l'Indochine Siège social,,0,1,Indochine,Indochine,Documents généraux (par ordre chronologique),,,,,,1910-05-03,,,"23, rue de",11,11,11,1953,1953
huileriesrizeriesouestafricainesh,Société des huileries et rizeries ouest-africaines (S.H,,0,1,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,1922-03-25,2.500.000 fr.,1926,,11,11,11,1926,1926
plantationskratiecambodge,Société des plantations de Kratié au Cambodge,SPK,1,1,Inde et Indochine; Indochine,Indochine,Héveas et caoutchouc,,,S.A,1927,,1927-06-10,30.000.000 francs,1938,"35, boulevard Colonial",11,11,10,1930,1936
petrolesshellouestafricain,Société des pétroles Shell de l'Ouest africain français,,0,2,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,1928-07-27,,,,11,11,11,1937,1955
cheminferottomanjaffajerusalemprolongements,Société du Chemin de fer ottoman de Jaffa à Jérusalem et prolongements,,1,1,Proche-Orient,Syrie-Liban,Transports terrestres,,,,1889,1928,1867-06-08,,,"Jaffa, a cessé, à partir du 20 juillet 1928, d'être abonnée au timbre",11,11,10,1892,1937
cafescoteivoire,Société française des Cafés de la Côte-d'Ivoire,,0,2,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,,100.000 fr.,1932,GAGNOA (Côte-d'Ivoire),11,11,9,1932,1963
huileriesplantationscoteivoire,Société française des Huileries et plantations de la Côte-d’Ivoire,,1,1,Afrique occidentale francaise,Côte d'Ivoire,"Agro-alimentaire, cultures industrielles",,,,1911,1920,,2.800.000 fr.,1912,"est à Paris, 13, rue Notre-",11,11,11,1911,1911
comptoirsfrancoafricains,Société générale des Comptoirs franco-africains,,1,2,Afrique occidentale francaise,Afrique occidentale française; Dahomey (Bénin),Documents généraux (par ordre chronologique),,,,,,1925-04-22,2.500.000 fr.,1926,"à Paris, 30, rue Bergère",11,11,6,1925,1926
indochinoiseexploitationsminieresagricoles,Société indochinoise d'exploitations minières et agricoles,,0,2,Indochine,Indochine,Documents généraux (par ordre chronologique),,,,,,1929-02-27,1.300.000 piastres,1971,,11,11,10,1929,1971
maritimenationale,Société maritime nationale,,0,1,Empire (transversal),,Documents généraux (par ordre chronologique),,,,,,,,,,11,11,11,1937,1937
marocaineconstructionsmetalliques,Société marocaine de constructions métalliques,,0,1,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1930-07-04,,,,11,11,11,1930,1930
mobiliereimmobilierefrancomarocaine,Société mobilière et immobilière franco-marocaine,,0,2,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1923-11-15,,,,11,11,9,1926,1930
electriqueindustriellebaoldiourbel,"Société Électrique et Industrielle du Baol, Diourbel",,1,1,Afrique occidentale francaise,Sénégal,Industries; Industries agro-alimentaires,,,,,,,,,,11,11,11,1944,1944
etudesindustriellescommercialesannamtonkin,Société Études industrielles et commerciales de l’Annam et du Tonkin,,1,1,Inde et Indochine; Indochine,Indochine,"Bâtiment-travaux publics, matériaux de construction, céramiques",,,,1891,1900,,,,"Paris, ci-devant, rue de la Paix, 10, et",11,11,11,1891,1900
travauxhydrauliquesentreprisesgenerales,Travaux hydrauliques et entreprises générales,THEG,1,1,Empire (transversal),,Bâtiment et travaux publics,,,,,,,,,de Grenoble à Paris,11,11,11,1919,1922
unionsenegalaiseindustriesmaritimes,Union sénégalaise d'industries maritimes,,1,2,Afrique occidentale francaise,Afrique occidentale française; Sénégal,Documents généraux (par ordre chronologique); Transports,,Dakar,S.A,1936,,1936-07-01,36 millions fr.,1963,"1, bd Pinet-Laprade, DAKAR (Sénégal)",11,11,7,1950,1963
usinesbeauport,Usines de Beauport,SAUB,1,3,Antilles-Guyane,Guadeloupe et Martinique,Divers; Documentation générale,,Bordeaux,S.A,1908,,,,,"Bordeaux, 18, place des Quinconces",14,11,7,1907,1962
usinesmetallurgiquesbasseloire,Usines métallurgiques de la BASSE-LOIRE,,0,2,Empire (transversal),,Groupes financiers transcoloniaux,,,,,,,,,"25, r. de Clichy, Paris, 9e. T",12,11,11,1925,1925
francimex,« Francimex »,,0,1,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,,,,,11,11,11,1975,1975
lefiniagricolecommercialeindustrielle,"« La Léfini », Cie agricole, commerciale et industrielle",,0,2,Afrique equatoriale francaise,Afrique équatoriale française,Documents généraux (par ordre chronologique),,,,,,,,,,11,11,7,1922,1926
maisonfamiliale,« La Maison familiale »,,0,3,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1920-05-25,,,,11,11,8,1922,1930
tanninsmadagascar,« Tannins de Madagascar »,,0,2,Madagascar et Djibouti,Madagascar,Documents généraux (par ordre chronologique),,,,,,1920-04-16,,,,11,11,8,1926,1937
etablissementsbeccatdoulaincourtmusseycorbiebonneville,"Établissements Beccat, Doulaincourt et Mussey, Corbie, Bonneville",,1,1,Empire (transversal),,Groupes industriels transcoloniaux,,,,,,,50.000 fr.,1919,où toutes les explications désirables leur seront fournies,11,11,9,1919,1922
etablissementsvezia,Établissements Vézia,,0,2,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,1925-12-17,75 millions fr.,1963,DAKAR (Sénégal),11,11,8,1937,1963
achaque,Achaque,,1,2,Algerie,Algérie,Documents généraux (par ordre chronologique); Transports maritimes et aériens,,Alger,,,,,,,"21, r. du Pont-Neuf",10,10,10,1938,1938
agenceabidjan,Agence à Abidjan,,0,1,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,1926-07-01,,,,12,10,10,1963,1963
anciensetablissementslamazierebunzliateliersvaucanson,Anciens Établissements Lamazière et Bünzli Ateliers Vaucanson,,1,1,Empire (transversal),,Groupes industriels transcoloniaux,,,S.A,1914,,,1.200.000 fr.,1916,"est à Paris, rue",10,10,8,1914,1914
banquealgerotunisiennecommerceexportation,Banque algéro-tunisienne pour le commerce d'exportation,,1,2,Maroc,Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",,,,1912,1925,1912-06-18,50.000 fr.,1922,"Paris, 20, rue La-Fayette. — Conseil",10,10,10,1912,1922
banquealgeriebanquealgerietunisiebanquealgerie,"Banque de l'Algérie, Banque de l'Algérie et de la Tunisie, Banque de l'Algérie",,1,1,Algerie; Tunisie,Algérie,"Banques et groupes financiers, assurances",,,,1851,,,,,DE LA SOCIÉTÉ,11,10,10,1879,1879
banqueliban,Banque du Liban,,1,1,Proche-Orient,Syrie-Liban,Banques et sociétés financières,,,,,,,,,"— Précédemment, 1, rue de",10,10,10,1913,1913
banquenationalecommerceindustrie,Banque nationale pour le commerce et l'industrie,BNCI-A,1,2,Algerie; Maroc,Algérie; Maroc,"Banques et groupes financiers, assurances; Documents généraux (par ordre chronologique)",,Alger,,,,1927-06-17,300 millions fr.,1952,,15,10,10,1952,1952
baronnervopdtdirgen,"Baron L. de Nervo, pdt-dir. gén",,0,1,Empire (transversal),,Groupes miniers transcoloniaux,,,,,,,1 500 fr.,1952,,10,10,10,1950,1950
camausportingclub,Camau sporting club,,1,1,Inde et Indochine; Indochine,Indochine,Sports,,,,,,,10.000.000 fr.,1964,NOUMÉA (Nouvelle-Calédonie),10,10,10,1964,1964
culturescoloniales,Cie de cultures coloniales,,0,6,Madagascar et Djibouti,Madagascar,Documents généraux (par ordre chronologique); Industries agro-alimentaires,,,,,,,,,"Besofo-Le Gabès, district d'Ambanja, côte N.-O. de",10,10,8,1926,1973
caoutchoucsmekongsaigonsoccap30,"Cie des CAOUTCHOUCS du MÉKONG, Saïgon. Soc. an. au cap. de 30",,0,1,Indochine,Indochine,Héveas et caoutchouc,,,,,,,,,,10,10,10,1938,1938
materiauxindustriels,Cie des MATÉRIAUX INDUSTRIELS,,0,1,Empire (transversal),,Bâtiment et travaux publics,,,,,,,,,,10,10,8,1925,1925
caoutchoucsmekongindochinoise,Cie des caoutchoucs du Mékong (Société indochinoise de,,0,1,Indochine,Indochine,Héveas et caoutchouc,,,,,,1927-01-12,20.700.000 piastres,1953,"3, rue Doudart-de-Lagrée, Saïgon (Viêt-Nam)",10,10,10,1951,1951
francomarocainefedala,Cie franco-marocaine de Fédala,,0,2,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,,,,,10,10,9,1937,1937
fruitieremaroc,Cie fruitière du Maroc,,0,1,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1929-07-15,,,,10,10,10,1937,1937
immobilieresudasie,Cie générale immobilière Sud-Asie,,0,2,Indochine,Indochine,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,,,,,,1929-03-08,13.110.000 piastres,1959,Saïgon (Sud-Vietnam),10,10,5,1951,1971
phoceennecommercecolonial,Cie phocéenne de commerce colonial,,0,2,Madagascar et Djibouti,Madagascar,Documents généraux (par ordre chronologique),,,,,,1924-12-11,48 millions fr.,1956,"et bureaux : 22, rue Breteuil, MARSEILLE",19,10,9,1937,1956
comitedirection,Comité de direction,,0,1,Pacifique,Nouvelle-Calédonie (Mélanésie),Documentation générale (par ordre chronologique),,,,,,,,,,10,10,10,1937,1937
agricoleforestierecameroun,Compagnie Agricole et forestière du Cameroun,,1,2,Afrique equatoriale francaise,Afrique équatoriale française; Cameroun,Documents généraux (par ordre chronologique); industries agro-alimentaires,,,,,,1926-07-19,100 millions fr.,1951,"Paris, 26, rue Laffitte [= Bq internationale de Commerce]",10,10,5,1947,1951
commercialecolonisationcongo,Compagnie Commerciale de Colonisation du Congo français,,1,1,Afrique equatoriale francaise,Oubangui-Chari (Centrafrique),mines et industries,,,,,,,1.000.000 francs,1903,"est à Paris, rue d’Alger, no 3, après avoir été 10, rue d'Argenteuil",10,10,10,1903,1903
commercialecolonialekadeisangha,Compagnie Commerciale et Coloniale de la Kadeï-Sangha,,1,1,Afrique equatoriale francaise,Congo-Brazzaville ou Moyen-Congo,Sociétés commerciales,,,,1899,1911,,1.000.000 francs,1899,de la société,12,10,10,1899,1899
forestiereabanga,Compagnie Forestière de l'Abanga,,1,2,Afrique equatoriale francaise,Afrique équatoriale française; Gabon,Documents généraux (par ordre chronologique); Industrie,,Libreville,S.A,1929,,1927-12-19,1.500.000 francs,1949,"Libreville, pour",11,10,9,1929,1951
immobilierenouvelleshebrides,Compagnie Française immobilière des Nouvelles-Hébrides,,1,2,Pacifique,Nouvelle-Calédonie (Mélanésie); Nouvelles-Hébrides (Mélanésie),Documentation générale (par ordre chronologique); Entreprises diverses,,,,1924,1929,1924-11-07,4.200.000 fr.,1924,,10,10,10,1926,1926
hoteliereouestafricainchoa,Compagnie Hôtelière de l'Ouest Africain CHOA),,1,1,Afrique occidentale francaise,Sénégal,Commerce,,Dakar,S.A,1929,,1929-03-20,4.500.000 francs,1930,"est, à Dakar, section de Bel-Air, a",10,10,6,1929,1930
immobilieresaigoncholon,Compagnie Immobilière de Saïgon-Cholon,,1,1,Inde et Indochine; Indochine,Indochine,Sociétés foncières et immobilières,,,,,,,39.150.000 fr.,1940,est à Cholon,10,10,9,1930,1940
lyonnaiseexplorationetudes,"Compagnie Lyonnaise d'exploration et d’études, puis Compagnie lyonnaise d'exploration et de banque",,1,1,Empire (transversal),,Groupes financiers transcoloniaux,,,,1895,,,3.000.000 francs,1917,"de Londres, Treadneedle house, Bishopsgate Street, Within, E. C",11,10,9,1899,1901
miniereroura,Compagnie Minière de Roura,,1,2,Antilles-Guyane,Guyane française,Documentation générale; Mines et placers,,,,1929,,1929-12-19,500.000 fr.,1937,"est à Cayenne (Guyane Française), 9, canal Laussat, apporte à la",10,10,6,1929,1937
grandslacsindochine,Compagnie des Grands Lacs de l'Indochine,,1,1,Inde et Indochine; Indochine,Indochine,Industries alimentaires; Pêche et produits de la mer,,,,,,,400.000 $,1928,Saigon,10,10,10,1926,1927
phosphatesaintagabougamouche,Compagnie des Phosphates d'Aïn-Taga et Bou-Gamouche,,1,1,Tunisie,Tunisie,Mines,,,,,,,,,"est à Tunis, 40, rue de Colmar, et les premiers",10,10,10,1907,1907
marocainevinicole,Compagnie marocaine vinicole,,0,2,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,1928-12-12,5.400.000 fr.,1952,"251, rue de Strasbourg, CASABLANCA",10,10,8,1937,1952
tunisiennephosphatesdjebelmdilla,Compagnie tunisienne des Phosphates du Djebel-M'dilla,,1,1,Tunisie,Tunisie,Mines,,,,,,,5.400.000 fr.,1922,"Tunis, 26, r. d'Angleterre",11,10,10,1925,1925
companhiamossamedesoumossamedes,Companhia de Mossamedes ou Compagnie de Mossamédès,,1,1,Afrique equatoriale francaise,Angola,,,,S.A,1894,,1894-05-10,27.500.000 fr.,1909,"Lisbonne, est, à partir du 1er août",30,10,10,1901,1902
comptoirimportationboisafricains,Comptoir d'importation des bois africains,,0,2,Afrique occidentale francaise,Afrique occidentale française; Côte d'Ivoire,Documents généraux (par ordre chronologique); Industries,,,,,,1931-01-01,12.500.000 fr.,1951,Aboisso (Côte d'Ivoire),10,10,5,1951,1963
comptoirmines,Comptoir des MINES,,0,1,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,,,,,10,10,10,1938,1938
cooperativemeunieremarocaine,Coopérative meunière marocaine,,0,1,Maroc,Maroc,Documents généraux (par ordre chronologique),,,,,,,,,,10,10,10,1935,1935
creditfonciertunisie,Crédit foncier de Tunisie,,1,3,Tunisie,Tunisie,"Banques et groupes financiers, assurances",,,,1881,1889,1906-08-07,10 millions francs,1908,du CRÉDIT FONCIER DE TUNISIE,10,10,10,1881,1906
creditfoncierafriqueequatorialebrazzaville,"Crédit foncier de l'Afrique équatoriale française, Brazzaville, puis Crédit foncier de l'Afrique française",,1,1,Afrique equatoriale francaise; Afrique occidentale francaise,Sénégal,Banque; Sociétés diverses,,Dakar,,1928,,1928-08-09,5.000.000 fr.,1929,"77, avenue William-Ponty, DAKAR (Sénégal)",10,10,9,1930,1943
distributioneaugazelectricite,"DISTRIBUTION D'EAU, DE GAZ ET D'ÉLECTRICITÉ",,0,1,Maroc,Maroc,"Eau, gaz, électricité (Utilities)",,,,,,,,,"Paris, 73, bd Haussmann",10,10,10,1925,1925
entreprisestravaux,Entreprises et travaux,ENTRACO,1,1,Afrique equatoriale francaise,Congo-Brazzaville ou Moyen-Congo,Sociétés diverses,,Pointe-Noire,,,,1930-08-25,13 millions francs,1936,est à Pointe-Noire (A.E.F.),10,10,10,1930,1930
exploitationsminieresoubangui,Exploitations minières de l'Oubangui,,1,2,Afrique equatoriale francaise,Afrique équatoriale française; Oubangui-Chari (Centrafrique),Documents généraux (par ordre chronologique); mines et industries,,,,1927,1936,1927-12-30,10 millions fr.,1929,"43, rue du Bac, Paris 7e",10,10,9,1928,1931
financierecimentsindustrie,"Financière des Ciments et de l'industrie, puis Compagnie industrielle des ciments",,1,1,Empire (transversal),,Groupes financiers transcoloniaux,"Consortium du Nord : participation dans Poliet et Chausson (intérêts en Tunisie, au Maroc et au Sénégal) et contrôle du Domaine de Potinville (Tunisie)",,,1928,1932,,20 millions francs,1930,Paris,10,10,10,1928,1928
francocolonialebois,Franco-Coloniale des Bois,,1,2,Afrique equatoriale francaise; Afrique occidentale francaise,Afrique équatoriale française; Côte d'Ivoire,Documents généraux (par ordre chronologique); Industries,,,,,,1942-11-03,9.500.000 fr.,1950,DOUALA (B. P. 168) (Cameroun),10,10,5,1947,1950
grandlahou,GRAND-LAHOU,,0,2,Afrique occidentale francaise,Afrique occidentale française,Documents généraux (par ordre chronologique),,,,,,,,,cercle de Grand-Lahou,10,10,10,1932,1963
grandsmoulinsbulgariebourgas,"Grands Moulins de Bulgarie, Bourgas",,1,1,Proche-Orient,Bulgarie,,,,,,,,7.500.000 fr.,1935,"en Bulgarie. La société actuelle recevrait, en échange de son apport, des",10,10,8,1920,1920
